device: cuda | AMP: True
building validation set (20 batches x 1024) -- one-time scan of the PGN for held-out games...
  cached 20 validation batches (20480 positions)
step    4900 | lr 9.99e-04 | total 3.638 | policy 1.920 (acc 0.413) | value 0.537 | aux 1.1807 | 17752 pos/s
step    5000 | lr 9.99e-04 | total 3.665 | policy 1.930 (acc 0.410) | value 0.549 | aux 1.1858 | 17452 pos/s
  [val] total 3.628 | policy 2.012 (acc 0.382) | value 0.429 | aux 1.1872
step    5100 | lr 9.99e-04 | total 3.656 | policy 1.930 (acc 0.411) | value 0.544 | aux 1.1826 | 18223 pos/s
step    5200 | lr 9.99e-04 | total 3.636 | policy 1.939 (acc 0.406) | value 0.514 | aux 1.1825 | 16538 pos/s
step    5300 | lr 9.99e-04 | total 3.598 | policy 1.935 (acc 0.408) | value 0.487 | aux 1.1756 | 17779 pos/s
step    5400 | lr 9.99e-04 | total 3.545 | policy 1.926 (acc 0.405) | value 0.448 | aux 1.1708 | 16980 pos/s
step    5500 | lr 9.99e-04 | total 3.485 | policy 1.884 (acc 0.418) | value 0.448 | aux 1.1529 | 18148 pos/s
step    5600 | lr 9.99e-04 | total 3.441 | policy 1.867 (acc 0.422) | value 0.433 | aux 1.1419 | 17108 pos/s
step    5700 | lr 9.99e-04 | total 3.451 | policy 1.871 (acc 0.421) | value 0.431 | aux 1.1484 | 17493 pos/s
step    5800 | lr 9.99e-04 | total 3.418 | policy 1.854 (acc 0.426) | value 0.420 | aux 1.1445 | 16201 pos/s
step    5900 | lr 9.99e-04 | total 3.476 | policy 1.849 (acc 0.423) | value 0.474 | aux 1.1530 | 16849 pos/s
step    6000 | lr 9.98e-04 | total 3.515 | policy 1.855 (acc 0.421) | value 0.496 | aux 1.1639 | 15672 pos/s
step    6100 | lr 9.98e-04 | total 3.534 | policy 1.872 (acc 0.416) | value 0.494 | aux 1.1679 | 17458 pos/s
step    6200 | lr 9.98e-04 | total 3.512 | policy 1.844 (acc 0.425) | value 0.508 | aux 1.1606 | 16445 pos/s
step    6300 | lr 9.98e-04 | total 3.501 | policy 1.851 (acc 0.424) | value 0.496 | aux 1.1545 | 16877 pos/s
step    6400 | lr 9.98e-04 | total 3.471 | policy 1.837 (acc 0.428) | value 0.486 | aux 1.1478 | 16965 pos/s
step    6500 | lr 9.98e-04 | total 3.413 | policy 1.812 (acc 0.435) | value 0.465 | aux 1.1362 | 17643 pos/s
step    6600 | lr 9.98e-04 | total 3.358 | policy 1.795 (acc 0.438) | value 0.429 | aux 1.1345 | 17145 pos/s
step    6700 | lr 9.98e-04 | total 3.446 | policy 1.819 (acc 0.430) | value 0.489 | aux 1.1378 | 16872 pos/s
step    6800 | lr 9.98e-04 | total 3.392 | policy 1.799 (acc 0.437) | value 0.464 | aux 1.1290 | 17924 pos/s
step    6900 | lr 9.98e-04 | total 3.404 | policy 1.808 (acc 0.435) | value 0.465 | aux 1.1307 | 17534 pos/s
step    7000 | lr 9.98e-04 | total 3.417 | policy 1.808 (acc 0.435) | value 0.483 | aux 1.1259 | 17718 pos/s
step    7100 | lr 9.98e-04 | total 3.363 | policy 1.791 (acc 0.440) | value 0.449 | aux 1.1229 | 17520 pos/s
step    7200 | lr 9.98e-04 | total 3.341 | policy 1.770 (acc 0.445) | value 0.456 | aux 1.1152 | 17578 pos/s
step    7300 | lr 9.98e-04 | total 3.289 | policy 1.749 (acc 0.452) | value 0.435 | aux 1.1049 | 17615 pos/s
step    7400 | lr 9.97e-04 | total 3.346 | policy 1.771 (acc 0.448) | value 0.461 | aux 1.1139 | 17643 pos/s
step    7500 | lr 9.97e-04 | total 3.277 | policy 1.756 (acc 0.451) | value 0.421 | aux 1.0998 | 18001 pos/s
step    7600 | lr 9.97e-04 | total 3.296 | policy 1.761 (acc 0.446) | value 0.423 | aux 1.1116 | 16894 pos/s
step    7700 | lr 9.97e-04 | total 3.398 | policy 1.764 (acc 0.445) | value 0.510 | aux 1.1247 | 17558 pos/s
step    7800 | lr 9.97e-04 | total 3.362 | policy 1.750 (acc 0.446) | value 0.499 | aux 1.1138 | 16492 pos/s
step    7900 | lr 9.97e-04 | total 3.397 | policy 1.768 (acc 0.442) | value 0.501 | aux 1.1282 | 17325 pos/s
step    8000 | lr 9.97e-04 | total 3.438 | policy 1.752 (acc 0.448) | value 0.549 | aux 1.1367 | 16758 pos/s
step    8100 | lr 9.97e-04 | total 3.420 | policy 1.756 (acc 0.445) | value 0.532 | aux 1.1330 | 17010 pos/s
step    8200 | lr 9.97e-04 | total 3.391 | policy 1.756 (acc 0.444) | value 0.500 | aux 1.1346 | 16642 pos/s
step    8300 | lr 9.97e-04 | total 3.375 | policy 1.746 (acc 0.447) | value 0.496 | aux 1.1333 | 17193 pos/s
step    8400 | lr 9.97e-04 | total 3.389 | policy 1.766 (acc 0.442) | value 0.491 | aux 1.1329 | 16879 pos/s
step    8500 | lr 9.97e-04 | total 3.360 | policy 1.787 (acc 0.436) | value 0.451 | aux 1.1224 | 17600 pos/s
step    8600 | lr 9.96e-04 | total 3.366 | policy 1.775 (acc 0.439) | value 0.467 | aux 1.1237 | 16697 pos/s
step    8700 | lr 9.96e-04 | total 3.347 | policy 1.749 (acc 0.445) | value 0.476 | aux 1.1215 | 17248 pos/s
step    8800 | lr 9.96e-04 | total 3.382 | policy 1.757 (acc 0.445) | value 0.506 | aux 1.1192 | 16867 pos/s
step    8900 | lr 9.96e-04 | total 3.408 | policy 1.758 (acc 0.444) | value 0.534 | aux 1.1162 | 17660 pos/s
step    9000 | lr 9.96e-04 | total 3.364 | policy 1.753 (acc 0.441) | value 0.501 | aux 1.1096 | 17448 pos/s
step    9100 | lr 9.96e-04 | total 3.342 | policy 1.753 (acc 0.447) | value 0.483 | aux 1.1060 | 17864 pos/s
step    9200 | lr 9.96e-04 | total 3.357 | policy 1.746 (acc 0.447) | value 0.501 | aux 1.1094 | 16811 pos/s
step    9300 | lr 9.96e-04 | total 3.379 | policy 1.746 (acc 0.448) | value 0.520 | aux 1.1138 | 17519 pos/s
step    9400 | lr 9.96e-04 | total 3.355 | policy 1.755 (acc 0.445) | value 0.490 | aux 1.1102 | 17019 pos/s
step    9500 | lr 9.96e-04 | total 3.328 | policy 1.749 (acc 0.448) | value 0.478 | aux 1.1018 | 18538 pos/s
step    9600 | lr 9.95e-04 | total 3.313 | policy 1.754 (acc 0.446) | value 0.459 | aux 1.0996 | 17323 pos/s
step    9700 | lr 9.95e-04 | total 3.357 | policy 1.769 (acc 0.442) | value 0.479 | aux 1.1091 | 17486 pos/s
step    9800 | lr 9.95e-04 | total 3.394 | policy 1.780 (acc 0.435) | value 0.499 | aux 1.1140 | 17354 pos/s
step    9900 | lr 9.95e-04 | total 3.350 | policy 1.759 (acc 0.446) | value 0.484 | aux 1.1071 | 17014 pos/s
step   10000 | lr 9.95e-04 | total 3.385 | policy 1.755 (acc 0.446) | value 0.520 | aux 1.1105 | 16662 pos/s
  checkpoint -> checkpoints/step_00010000.pt
  [val] total 3.261 | policy 1.736 (acc 0.445) | value 0.438 | aux 1.0866
step   10100 | lr 9.95e-04 | total 3.432 | policy 1.778 (acc 0.438) | value 0.540 | aux 1.1150 | 19234 pos/s
step   10200 | lr 9.95e-04 | total 3.382 | policy 1.769 (acc 0.441) | value 0.505 | aux 1.1090 | 17504 pos/s
step   10300 | lr 9.95e-04 | total 3.347 | policy 1.749 (acc 0.447) | value 0.493 | aux 1.1051 | 16913 pos/s
step   10400 | lr 9.95e-04 | total 3.330 | policy 1.736 (acc 0.449) | value 0.486 | aux 1.1084 | 17246 pos/s
step   10500 | lr 9.94e-04 | total 3.316 | policy 1.724 (acc 0.452) | value 0.492 | aux 1.0998 | 17936 pos/s
step   10600 | lr 9.94e-04 | total 3.304 | policy 1.731 (acc 0.453) | value 0.477 | aux 1.0958 | 17192 pos/s
step   10700 | lr 9.94e-04 | total 3.316 | policy 1.727 (acc 0.451) | value 0.490 | aux 1.0987 | 17520 pos/s
